trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,pnl,pnl_pct,commission,duration
577b8a87-c6ba-4368-a8b5-6158e0b8f411,AMD,LONG,2025-11-18 16:55:00+00:00,2025-11-18 19:35:00+00:00,232.32158821032394,230.80460267197552,43,-75.15497606387709,-0.6529679613652924,9.924597914894946,9600.0
1b903958-3453-478b-bc46-5f7b1be500cc,AMD,LONG,2025-11-18 23:35:00+00:00,2025-11-19 00:30:00+00:00,230.43604184115466,228.0432459353457,43,-112.69608352500484,-1.0383774546250744,9.805859575219866,3300.0
a22fb993-620a-472a-8761-338e1b3cd0d5,AMD,LONG,2025-11-19 09:45:00+00:00,2025-11-19 14:30:00+00:00,229.76326837311282,228.97588480858064,43,-43.70345632165261,-0.34269340356594535,9.845963046768968,17100.0
3ffe6359-0d28-41d3-9f0d-81e3acb0f1e6,AMD,LONG,2025-11-19 15:30:00+00:00,2025-11-19 16:30:00+00:00,235.31132772496403,227.23838625874112,42,-348.60755380422955,-3.430749188436312,9.544012222867126,3600.0
b0024eb5-d152-47c2-87e4-412873b650b4,AMD,LONG,2025-11-19 20:35:00+00:00,2025-11-20 10:25:00+00:00,223.75143585658742,232.24328234571422,42,346.9033346848056,3.7952142995719655,9.754217858519999,49800.0
ec22a05b-ece0-4613-95ea-3b1513e97ec8,AMD,LONG,2025-11-19 20:35:00+00:00,2025-11-20 13:45:00+00:00,233.40616336456267,231.54578740193895,42,-87.8607135010777,-0.7970552001739366,9.724923070881436,61800.0
819d0ad0-3704-4b81-85be-b472206bbf91,AMD,LONG,2025-11-19 20:35:00+00:00,2025-11-20 17:55:00+00:00,233.40616336456267,208.51421699546526,2,-50.20092117218575,-10.664648272470032,0.41702843399093054,76800.0
7d38cff6-5668-4d8e-899c-90f083d1ce8f,AMD,LONG,2025-11-20 23:35:00+00:00,2025-11-21 09:45:00+00:00,206.32634190421308,202.00493630688058,48,-217.1237056146903,-2.0944517105521654,9.696236942730268,36600.0
ea0dba7d-ebe2-4c8e-9cc2-eaf10a2fd583,AMD,LONG,2025-11-21 11:25:00+00:00,2025-11-21 14:55:00+00:00,205.04808941855995,202.76266760567108,48,-119.43285506373799,-1.1145784480945302,9.732608045072212,12600.0
998482fc-88d0-4d83-be59-39d05baf6d4d,AMD,LONG,2025-11-21 17:05:00+00:00,2025-11-21 21:00:00+00:00,205.57893051253336,203.49601312899543,48,-109.74784304001253,-1.0131959429621338,9.767808630191782,14100.0
