date,stock_price,stock_value,put_value,cash,total_equity,returns,cummax,drawdown
2023-12-07 00:00:00-05:00,192.45249938964844,76980.99975585938,1061.3692035910503,21957.631040549575,100000.0,,100000.0,0.0
2023-12-08 00:00:00-05:00,193.8789978027344,77551.59912109376,904.213562943383,21957.631040549575,100413.44372458672,0.004134437245867151,100413.44372458672,0.0
2023-12-11 00:00:00-05:00,191.3726959228516,76549.07836914064,1080.7089095729452,21957.631040549575,99587.41831926316,-0.008226243167091973,100413.44372458672,-0.008226243167091963
2023-12-12 00:00:00-05:00,192.88836669921875,77155.3466796875,906.2765206870665,21957.631040549575,100019.25424092414,0.004336249788869706,100413.44372458672,-0.003925664423418767
2023-12-13 00:00:00-05:00,196.1079559326172,78443.18237304688,623.5541728318992,21957.631040549575,101024.36758642834,0.01004919855814057,101024.36758642834,0.0
2023-12-14 00:00:00-05:00,196.25657653808597,78502.63061523439,593.4400986266013,21957.631040549575,101053.70175441056,0.000290367251813084,101053.70175441056,0.0
2023-12-15 00:00:00-05:00,195.7216339111328,78288.65356445312,610.0628657503336,21957.631040549575,100856.34747075304,-0.0019529644162581405,101053.70175441056,-0.0019529644162580905
2023-12-18 00:00:00-05:00,194.0573272705078,77622.93090820312,668.527226251129,21957.631040549575,100249.08917500383,-0.006021022087135508,101053.70175441056,-0.007962227661507866
2023-12-19 00:00:00-05:00,195.09750366210935,78039.00146484374,569.2886265002869,21957.631040549575,100565.9211318936,0.00316044723694886,101053.70175441056,-0.00482694462497187
2023-12-20 00:00:00-05:00,193.0072784423828,77202.91137695312,706.7297339151082,21957.631040549575,99867.27215141781,-0.006947174277452284,101053.70175441056,-0.011740585276886874
2023-12-21 00:00:00-05:00,192.85862731933597,77143.45092773439,694.6731795111958,21957.631040549575,99795.75514779516,-0.0007161205275960647,101053.70175441056,-0.01244829813036012
2023-12-22 00:00:00-05:00,191.7887725830078,76715.50903320312,763.4080312602578,21957.631040549575,99436.54810501296,-0.0035994220620929607,101053.70175441056,-0.016002913513527176
2023-12-26 00:00:00-05:00,191.2439117431641,76497.56469726564,704.445108158049,21957.631040549575,99159.64084597326,-0.002784763392502887,101053.70175441056,-0.01874311257830425
2023-12-27 00:00:00-05:00,191.3429718017578,76537.18872070312,667.0790406556364,21957.631040549575,99161.89880190833,2.2770916834780053e-05,101053.70175441056,-0.018720768459327214
2023-12-28 00:00:00-05:00,191.76893615722656,76707.57446289062,601.8428851344453,21957.631040549575,99267.04838857465,0.0010603829488620153,101053.70175441056,-0.017680236694129135
2023-12-29 00:00:00-05:00,190.72879028320312,76291.51611328125,664.3061774155996,21957.631040549575,98913.45333124642,-0.003562058740218643,101053.70175441056,-0.021179317392702342
2024-01-02 00:00:00-05:00,183.9032287597656,73561.29150390624,1409.8298609037329,21957.631040549575,96928.75240535954,-0.020065025120904578,101053.70175441056,-0.040819378978078705
2024-01-03 00:00:00-05:00,182.52622985839844,73010.49194335938,1623.6765602898856,21957.631040549575,96591.79954419883,-0.003476294214038389,101053.70175441056,-0.04415377302115494
2024-01-04 00:00:00-05:00,180.2081298828125,72083.251953125,2080.247950016974,21957.631040549575,96121.13094369155,-0.0048727594136178665,101053.70175441056,-0.04881138172163722
2024-01-05 00:00:00-05:00,179.48497009277344,71793.98803710938,2213.306716256807,21957.631040549575,95964.92579391575,-0.0016250864741416127,101053.70175441056,-0.050357145479558885
2024-01-08 00:00:00-05:00,183.8239898681641,73529.59594726564,1154.558310714026,21957.631040549575,96641.78529852924,0.007053196769693182,101053.70175441056,-0.04365912756569316
2024-01-09 00:00:00-05:00,183.40789794921875,73363.1591796875,1177.714919225258,21957.631040549575,96498.50513946233,-0.0014825901510854278,101053.70175441056,-0.045076989124244696
2024-01-10 00:00:00-05:00,184.44808959960935,73779.23583984374,946.1747768424345,21957.631040549575,96683.04165723575,0.0019123251443815548,101053.70175441056,-0.043250865839598515
