entry_date,entry_price,strike,premium,expiry_date,delta,status,exit_date,exit_price,outcome
2023-12-07 00:00:00-05:00,192.45249938964844,182.829874420166,2.653423008977626,2024-01-21 00:00:00-05:00,-0.25131457495619447,closed,2024-01-22 00:00:00-05:00,192.0760498046875,expired
2024-01-22 00:00:00-05:00,192.0760498046875,182.4722473144531,2.6482327412823565,2024-03-07 00:00:00-05:00,-0.25131457495619447,closed,2024-03-07 00:00:00-05:00,167.63255310058594,protected
2024-03-07 00:00:00-05:00,167.63255310058594,159.25092544555665,2.3112200405888075,2024-04-21 00:00:00-05:00,-0.25131457495619525,closed,2024-04-22 00:00:00-04:00,164.4980926513672,expired
2024-04-22 00:00:00-04:00,164.4980926513672,156.27318801879883,2.2680039249079798,2024-06-06 00:00:00-04:00,-0.25131457495619525,closed,2024-06-06 00:00:00-04:00,193.1680145263672,expired
2024-06-06 00:00:00-04:00,193.1680145263672,183.5096138000488,2.6632881150846544,2024-07-21 00:00:00-04:00,-0.25131457495619447,closed,2024-07-22 00:00:00-04:00,222.4491424560547,expired
2024-07-22 00:00:00-04:00,222.4491424560547,211.32668533325193,3.066999258477729,2024-09-05 00:00:00-04:00,-0.25131457495619447,closed,2024-09-05 00:00:00-04:00,221.13548278808597,expired
2024-09-05 00:00:00-04:00,221.13548278808597,210.07870864868167,3.0488872838345955,2024-10-20 00:00:00-04:00,-0.25131457495619525,closed,2024-10-21 00:00:00-04:00,235.15655517578125,expired
2024-10-21 00:00:00-04:00,235.15655517578125,223.3987274169922,3.2422016663551787,2024-12-05 00:00:00-04:00,-0.25131457495619525,closed,2024-12-05 00:00:00-05:00,241.94573974609372,expired
2024-12-05 00:00:00-05:00,241.94573974609372,229.84845275878902,3.3358069903088463,2025-01-19 00:00:00-05:00,-0.25131457495619447,closed,2025-01-21 00:00:00-05:00,221.63758850097656,protected
2025-01-21 00:00:00-05:00,221.63758850097656,210.55570907592772,3.055810025060339,2025-03-07 00:00:00-05:00,-0.25131457495619447,closed,2025-03-07 00:00:00-05:00,238.2552947998047,expired
2025-03-07 00:00:00-05:00,238.2552947998047,226.34253005981444,3.2849252840961256,2025-04-21 00:00:00-05:00,-0.25131457495619447,closed,2025-04-22 00:00:00-04:00,199.059326171875,protected
2025-04-22 00:00:00-04:00,199.059326171875,189.10635986328123,2.7445140899242872,2025-06-06 00:00:00-04:00,-0.25131457495619447,closed,2025-06-06 00:00:00-04:00,203.49156188964844,expired
2025-06-06 00:00:00-04:00,203.49156188964844,193.316983795166,2.805623175397592,2025-07-21 00:00:00-04:00,-0.25131457495619525,closed,2025-07-21 00:00:00-04:00,212.0335693359375,expired
2025-07-21 00:00:00-04:00,212.0335693359375,201.4318908691406,2.9233954006101683,2025-09-04 00:00:00-04:00,-0.25131457495619447,closed,2025-09-04 00:00:00-04:00,239.5477752685547,expired
2025-09-04 00:00:00-04:00,239.5477752685547,227.57038650512695,3.3027452522717127,2025-10-19 00:00:00-04:00,-0.25131457495619525,closed,2025-10-20 00:00:00-04:00,261.98602294921875,expired
2025-10-20 00:00:00-04:00,261.98602294921875,248.8867218017578,3.61211074695656,2025-12-04 00:00:00-04:00,-0.25131457495619525,closed,2025-12-04 00:00:00-05:00,280.70001220703125,expired
2025-12-04 00:00:00-05:00,280.70001220703125,266.6650115966797,3.8701283349012243,2026-01-18 00:00:00-05:00,-0.25131457495619525,open,,,
