date,equity,cash,positions
2006-05-11 04:00:00+00:00,100000.0,90001.2947883606,1
2006-05-12 04:00:00+00:00,99933.97911548615,90001.2947883606,1
2006-05-15 04:00:00+00:00,99947.18679141998,90001.2947883606,1
2006-05-16 04:00:00+00:00,99534.91054010391,90001.2947883606,1
2006-05-17 04:00:00+00:00,99575.99091434479,90001.2947883606,1
2006-05-18 04:00:00+00:00,99270.82758522034,90001.2947883606,1
2006-05-19 04:00:00+00:00,99253.65422641195,99253.65422641195,0
2006-05-22 04:00:00+00:00,99253.65422641195,99253.65422641195,0
2006-05-23 04:00:00+00:00,99253.65422641195,99253.65422641195,0
2006-05-24 04:00:00+00:00,99253.65422641195,99253.65422641195,0
2006-05-25 04:00:00+00:00,109175.14975081838,109175.14975081838,1
2006-05-26 04:00:00+00:00,109217.63462172903,109175.14975081838,1
2006-05-30 04:00:00+00:00,109461.40439998067,109175.14975081838,1
2006-05-31 04:00:00+00:00,109464.5117875234,109175.14975081838,1
2006-06-01 04:00:00+00:00,109184.73351489461,109175.14975081838,1
2006-06-02 04:00:00+00:00,109267.11310397543,109175.14975081838,1
2006-06-05 04:00:00+00:00,109396.63963996328,109175.14975081838,1
2006-06-06 04:00:00+00:00,108993.81120788015,109175.14975081838,1
2006-06-07 04:00:00+00:00,109083.96026050008,109175.14975081838,1
2006-06-08 04:00:00+00:00,108908.06461917318,109175.14975081838,1
2006-06-09 04:00:00+00:00,98939.53052589588,98939.53052589588,0
2006-06-12 04:00:00+00:00,98939.53052589588,98939.53052589588,0
2006-06-13 04:00:00+00:00,98939.53052589588,98939.53052589588,0
2006-06-14 04:00:00+00:00,98939.53052589588,98939.53052589588,0
2006-06-15 04:00:00+00:00,98939.53052589588,98939.53052589588,0
2006-06-16 04:00:00+00:00,98939.53052589588,98939.53052589588,0
2006-06-19 04:00:00+00:00,108822.76525184803,108822.76525184803,1
2006-06-20 04:00:00+00:00,108818.38358375721,108822.76525184803,1
